run_idx,scheduler_mode,scheduling_policy_value,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total,phase,tokens_scheduled,active_requests,padding_waste_tokens,padding_waste_bytes_est,padding_waste_pct
0,continuous,32.0,4.0,2,-1.0,51,601.878223998483,613.7139549982749,2,11.83573099979185,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,52,613.7139549982749,624.8983409982429,2,11.184385999968072,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,53,624.8983409982429,636.5659409984801,2,11.667600000237144,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,54,636.5659409984801,648.2932029985022,2,11.727262000022165,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,55,648.2932029985022,659.9204749986711,2,11.627272000168887,134,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,56,659.9204749986711,671.8127229987658,2,11.892248000094696,134,67,2,decode,2,1,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,57,671.8127229987658,677.9370479989666,1,6.12432500020077,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,58,677.9370479989666,689.7060949991101,1,11.769047000143473,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,59,689.7060949991101,702.1211059991401,1,12.415011000030063,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,60,702.1211059991401,714.413051999145,1,12.291946000004828,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,61,714.413051999145,726.1546439990525,1,11.741591999907541,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,62,726.1546439990525,738.225691999105,1,12.071048000052542,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,63,738.225691999105,750.0550219988327,1,11.829329999727634,271,57,32,prefill,32,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,64,750.0550219988327,762.3376079986883,1,12.282585999855655,271,57,30,prefill,30,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,65,762.3376079986883,772.5096009990011,1,10.171993000312796,134,67,1,decode,1,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,66,772.5096009990011,784.5867389992236,1,12.077138000222476,271,57,17,prefill,17,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,67,784.5867389992236,795.9325999991052,2,11.345860999881552,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,68,795.9325999991052,807.6126599989948,2,11.680059999889636,271,67,2,decode,2,2,0,0,0.0
0,continuous,32.0,4.0,2,-1.0,69,807.6126599989948,819.0947379989666,2,11.482077999971807,271,67,2,decode,2,2,0,0,0.0
