run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,request_id,batch_id,prompt_len,max_new_tokens,arrival_time_ms,start_time_ms,finish_time_ms,wait_time_ms,service_time_ms,latency_ms
2,36.0,4,20.0,128,32,128,32,3139.7597985297416,4354.285255986288,4490.982388987977,1214.525457456546,136.6971330016895,1351.2225904582356
2,36.0,4,20.0,129,32,128,32,3158.822001732356,4354.285255986288,4490.982388987977,1195.4632542539316,136.6971330016895,1332.1603872556211
2,36.0,4,20.0,130,33,128,32,3225.4798399789147,4490.982388987977,4625.286412986061,1265.5025490090625,134.30402399808372,1399.8065730071462
2,36.0,4,20.0,131,33,128,32,3227.7649503076177,4490.982388987977,4625.286412986061,1263.2174386803595,134.30402399808372,1397.5214626784432
2,36.0,4,20.0,132,33,128,32,3295.2907534919514,4490.982388987977,4625.286412986061,1195.6916354960258,134.30402399808372,1329.9956594941095
2,36.0,4,20.0,133,33,128,32,3372.530635927547,4490.982388987977,4625.286412986061,1118.4517530604303,134.30402399808372,1252.755777058514
2,36.0,4,20.0,134,34,128,32,3404.4705357723637,4625.286412986061,4759.083131982625,1220.8158772136971,133.79671899656387,1354.612596210261
2,36.0,4,20.0,135,34,128,32,3449.552059791361,4625.286412986061,4759.083131982625,1175.7343531947,133.79671899656387,1309.5310721912638
2,36.0,4,20.0,136,34,128,32,3462.9247135834735,4625.286412986061,4759.083131982625,1162.3616994025874,133.79671899656387,1296.1584183991513
2,36.0,4,20.0,137,34,128,32,3554.230936911174,4625.286412986061,4759.083131982625,1071.0554760748869,133.79671899656387,1204.8521950714508
2,36.0,4,20.0,138,35,128,32,3591.9083644870348,4759.083131982625,4893.25337398488,1167.17476749559,134.1702420022557,1301.3450094978457
2,36.0,4,20.0,139,35,128,32,3624.149899016257,4759.083131982625,4893.25337398488,1134.9332329663675,134.1702420022557,1269.1034749686232
2,36.0,4,20.0,140,35,128,32,3640.7053686299687,4759.083131982625,4893.25337398488,1118.377763352656,134.1702420022557,1252.5480053549118
2,36.0,4,20.0,141,35,128,32,3647.631285253954,4759.083131982625,4893.25337398488,1111.4518467286707,134.1702420022557,1245.6220887309264
2,36.0,4,20.0,142,36,128,32,3680.2988540119354,4893.25337398488,5029.205182982441,1212.954519972945,135.95180899756087,1348.906328970506
