run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,batch_id,dispatch_time_ms,finish_time_ms,batch_size,batch_runtime_ms,prompt_len,max_new_tokens,tokens_generated_total
1,20.0,4,0.0,52,7139.484070055224,7273.251631056374,4,133.76756100115017,128,32,128
1,20.0,4,0.0,53,7273.251631056374,7410.167955057878,4,136.9163240015041,128,32,128
1,20.0,4,0.0,54,7410.167955057878,7547.792177059128,4,137.62422200125002,128,32,128
1,20.0,4,0.0,55,7547.792177059128,7681.780664063118,4,133.98848700398958,128,32,128
1,20.0,4,0.0,56,7681.780664063118,7815.500360059778,4,133.71969599666045,128,32,128
1,20.0,4,0.0,57,7815.500360059778,7951.444785061759,4,135.94442500198056,128,32,128
1,20.0,4,0.0,58,7951.444785061759,8085.015361059269,4,133.57057599750988,128,32,128
1,20.0,4,0.0,59,8085.015361059269,8218.000222057744,4,132.9848609984765,128,32,128
1,20.0,4,0.0,60,8218.000222057744,8350.836725059926,4,132.83650300218142,128,32,128
1,20.0,4,0.0,61,8350.836725059926,8484.263049054098,3,133.42632399417198,128,32,96
1,20.0,4,0.0,62,8484.263049054098,8617.769619050014,1,133.50656999591592,128,32,32
1,20.0,4,0.0,63,8617.769619050014,8751.034983051104,2,133.26536400109035,128,32,64
1,20.0,4,0.0,64,8751.034983051104,8885.316274049037,4,134.28129099793296,128,32,128
1,20.0,4,0.0,65,8885.316274049037,9020.632394046734,2,135.31611999769666,128,32,64
1,20.0,4,0.0,66,9020.632394046734,9154.362835047541,1,133.73044100080733,128,32,32
1,20.0,4,0.0,67,9154.362835047541,9287.9256190456,2,133.56278399805888,128,32,64
1,20.0,4,0.0,68,9302.469412027433,9436.399618028856,1,133.93020600142336,128,32,32
1,20.0,4,0.0,69,9436.399618028856,9570.367184028994,2,133.9675660001376,128,32,64
1,20.0,4,0.0,70,9570.367184028994,9704.247919024721,4,133.88073499572783,128,32,128
1,20.0,4,0.0,71,9704.247919024721,9838.589313024142,4,134.3413939994207,128,32,128
1,20.0,4,0.0,72,9838.589313024142,9975.588167025973,4,136.9988540018312,128,32,128
1,20.0,4,0.0,73,9975.588167025973,10114.280179028112,4,138.69201200213865,128,32,128
2,20.0,4,0.0,0,0.0,139.86676900185557,1,139.86676900185557,128,32,32
2,20.0,4,0.0,1,139.86676900185557,277.4729210041187,2,137.60615200226312,128,32,64
2,20.0,4,0.0,2,277.4729210041187,414.9863850016118,4,137.5134639974931,128,32,128
2,20.0,4,0.0,3,414.9863850016118,549.3241460053468,4,134.33776100373507,128,32,128
2,20.0,4,0.0,4,549.3241460053468,683.7644320048639,2,134.44028599951707,128,32,64
2,20.0,4,0.0,5,683.7644320048639,818.3337030059192,4,134.5692710010553,128,32,128
2,20.0,4,0.0,6,818.3337030059192,952.6705090056566,4,134.3368059997374,128,32,128
2,20.0,4,0.0,7,952.6705090056566,1086.7659310060844,2,134.0954220004278,128,32,64
2,20.0,4,0.0,8,1086.7659310060844,1221.537326003272,3,134.7713949971876,128,32,96
2,20.0,4,0.0,9,1221.537326003272,1355.9495930039702,2,134.4122670006982,128,32,64
2,20.0,4,0.0,10,1355.9495930039702,1491.8641650037898,2,135.9145719998196,128,32,64
