run_idx,arrival_rate_rps,max_batch_size,batch_timeout_ms,num_requests,num_batches,throughput_rps,throughput_tokens_per_s,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_wait_ms,p95_wait_ms,mean_service_ms,mean_batch_size,max_batch_size_realized,mean_batch_runtime_ms
1,36.0,1,0.0,200,200,7.3851677523487185,236.325368075159,10785.840093948087,10621.12060692225,20399.062366781087,21322.18483765649,10650.433555663029,20260.757582680406,135.40653828506038,1.0,1,135.40653828506038
2,36.0,1,0.0,200,200,7.336328607344092,234.76251543501095,11256.724806590826,11354.842521702285,21179.23040568901,22002.193145804293,11120.416844731137,21044.602580688545,136.30796185968848,1.0,1,136.30796185968848
0,36.0,1,10.0,200,200,7.404087810698841,236.9308099423629,10956.292957187861,10878.507507158252,20575.642978747146,21437.907903090156,10821.232430413042,20441.30892484504,135.06052677481875,1.0,1,135.06052677481875
1,36.0,1,10.0,200,200,7.378034733552011,236.09711147366434,10813.327175108694,10636.704658911458,20446.458837714243,21347.468207921564,10677.789726978714,20312.190571610445,135.53744812998048,1.0,1,135.53744812998048
2,36.0,1,10.0,200,200,7.320642673521614,234.26056555269165,11303.291084152232,11366.481341221079,21230.263196201642,22060.244221435296,11166.691055357362,21095.042203853267,136.6000287948691,1.0,1,136.6000287948691
0,36.0,1,20.0,200,200,7.396409087356731,236.6850907954154,10979.179819721827,10908.339681138392,20602.096094452554,21468.149917180148,10843.979077281905,20467.012763602634,135.20074243991985,1.0,1,135.20074243991985
1,36.0,1,20.0,200,200,7.366164323212527,235.71725834280087,10810.444660728881,10622.055342902331,20497.6345863283,21392.7934907229,10674.68879700904,20363.427385930223,135.75586371984173,1.0,1,135.75586371984173
2,36.0,1,20.0,200,200,7.287998059943365,233.21593791818768,11285.76525256695,11345.59005119947,21307.932381428895,22173.352378437427,11148.553360937032,21167.000244976884,137.21189162991777,1.0,1,137.21189162991777
0,36.0,4,0.0,200,51,28.741410037486613,919.7251211995716,955.5318186720891,956.1327137226381,1539.3603941145336,1653.0579729865033,819.1296916976856,1404.921577568053,136.40212697440347,3.9215686274509802,4,136.44315370527016
1,36.0,4,0.0,200,51,28.75127091311357,920.0406692196342,756.103326456315,631.545726697924,1342.7172932258861,1438.3332295312866,619.6976203564611,1203.3572537227237,136.4057060998539,3.9215686274509802,4,136.39635754892274
2,36.0,4,0.0,200,51,28.789731576664778,921.2714104532729,1115.1469710374588,1144.8241077537457,1870.9668600993336,1940.191441308327,978.9395152179143,1734.3471053435267,136.20745581954452,3.9215686274509802,4,136.21414347015198
0,36.0,4,10.0,200,51,28.683172824429768,917.8615303817526,943.9082702345153,923.5945216359878,1557.4825450355872,1667.1864490137937,807.403106089569,1421.749742171621,136.50516414494632,3.9215686274509802,4,136.52410421560919
1,36.0,4,10.0,200,51,28.924097693758846,925.5711262002831,726.0568059620492,606.5983077764201,1278.8292103839906,1375.8125194444326,590.6740505513937,1143.1525823852992,135.3827554106556,3.9215686274509802,4,135.3852859026708
2,36.0,4,10.0,200,51,28.809443808526332,921.9022018728426,1104.7299429589405,1130.7450459424604,1868.484145364723,1935.4381623268112,968.7994340639555,1733.9230573648954,135.930508894985,3.9215686274509802,4,135.92486349012225
0,36.0,4,20.0,200,51,28.55887211254687,913.8839076014998,992.7547994934779,1000.4588756236687,1589.806596082413,1697.5348190126217,855.8266220086037,1455.2881362852036,136.92817748487414,3.9215686274509802,4,136.923091862645
1,36.0,4,20.0,200,51,28.888107370878487,924.4194358681116,735.492619367593,621.2793257606597,1282.7031763604812,1378.7796825776036,600.2010680174556,1148.0286253614015,135.29155135013752,3.9215686274509802,4,135.35812186282604
2,36.0,4,20.0,200,51,28.874142403439414,923.9725569100613,1073.7808981084274,1095.9365401063874,1822.6242733053436,1895.0619987348334,938.4211594389238,1687.9706783019242,135.3597386695037,3.9215686274509802,4,135.4237774309035
0,36.0,8,0.0,200,41,35.079313814569154,1122.538042066213,214.4247151510721,217.39655115384005,275.71109241388285,291.12429150119755,73.98435633613227,132.7481265001684,140.44035881493983,4.878048780487805,8,139.057702390457
1,36.0,8,0.0,200,42,34.70178820675256,1110.457222616082,218.90330420959452,217.91161672211229,290.66461621715035,334.96122728203846,80.81047837954085,149.5174646143871,138.0928258300537,4.761904761904762,8,137.22361319057762
2,36.0,8,0.0,200,38,38.13139062668272,1220.2045000538471,209.3036877412144,211.39047458131927,273.5349258029197,311.15591840729303,70.53554133186685,133.52642801614064,138.76814640934754,5.2631578947368425,8,138.02690665716
0,36.0,8,10.0,200,40,35.375390704124904,1132.012502531997,213.47623734210836,215.71785307394498,274.5315637979355,286.61917518736965,73.19965732207699,134.0443973736863,140.27658002003136,5.0,8,139.26992737528963
1,36.0,8,10.0,200,42,34.74102166285871,1111.7126932114786,215.83782493586676,216.8851980857694,286.86263196343486,332.7915652539385,78.30574417684258,146.1035266448246,137.5320807590242,4.761904761904762,8,136.83054966579567
2,36.0,8,10.0,200,38,38.100054464572835,1219.2017428663307,211.0754330287475,209.2564298703992,270.5661882152051,314.45868344499013,72.38890740835109,130.4658692102901,138.68652562039642,5.2631578947368425,8,137.87727178970798
0,36.0,8,20.0,200,41,35.2786795349778,1128.9177451192895,215.42208633805367,213.6953067280309,273.2867605289577,310.14959254033886,76.802633577909,135.25907452719377,138.61945276014467,4.878048780487805,8,137.78405917092618
1,36.0,8,20.0,200,40,35.30044795369965,1129.614334518389,228.68257747657134,228.43914195043703,320.76071402564406,359.6805744950272,86.50690804568623,175.16446377082707,142.17566943088514,5.0,8,141.1412620757119
2,36.0,8,20.0,200,38,37.91603884293334,1213.3132429738669,213.110682910494,211.4806600726248,270.4509752785156,321.94352744378097,73.98614095993003,132.57493511183563,139.12454195056398,5.2631578947368425,8,138.28454250032289
